GUID;complete;media_language;srt_language;last_changed_on_amara;revision;url;touched;amara_key;amara_language
57485454-3356-2020-2020-202020202020;True;eng;en;2020-01-04T11:31:48Z;23;https://mirror.selfnet.de/c3subtitles/events/eh2018/eh18-19-deu-Open_Source_Orgelbau.en.srt;2020-01-04T11:40:07Z;CSSDICOdb8la;en
57533942-4659-2020-2020-202020202020;True;deu;de;2020-01-04T11:33:03Z;37;https://mirror.selfnet.de/c3subtitles/events/eh2018/eh18-14-deu-Sicherheitschloesser_in_Campingfahrzeugen_und_ihre_versteckten_Generalschluessel.de.srt;2020-01-04T11:42:06Z;8rNKaSpCrkIl;de
8bd222ad-34a7-468a-9e83-11767dcfa809;True;eng;en;2020-01-04T11:34:17Z;8;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9498-eng-deu-Dissecting_Broadcom_Bluetooth.en.srt;2020-01-04T11:42:07Z;T5QpYR7GidA0;en
623fd999-d7dd-4fd8-896c-75e51a21df1e;True;deu;de;2020-01-04T11:35:08Z;12;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9727-deu-eng-spa-Netzpolitischer_Wetterbericht_2018.de.srt;2020-01-04T11:54:05Z;t5a9go7vlIjD;de
75b955c7-3e7c-463d-9d31-5b1e1745a5b2;True;deu;de;2020-01-04T11:36:20Z;6;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9768-deu-eng-fra-Open_Source_Orgelbau.de.srt;2020-01-04T11:56:05Z;nDvUmkz1DUKy;de
e4dbae08-779a-4972-a099-7c85df141fa4;False;deu;de;2020-01-04T11:37:37Z;7;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9911-deu-eng-Chaos_Communication_Slam.de.srt;2020-01-04T11:39:38Z;GE4CeZwQdt4M;de
a667d070-483e-4e2b-9bf9-d9a5475b6356;False;deu;de;2020-01-04T11:38:40Z;11;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9667-deu-eng-Desinformation_und_Fake_News_-_Bekaempfung_und_Verifizierung_leicht_gemacht.de.srt;2020-01-04T11:42:39Z;LigNRDXdOwkW;de
3a571c21-31ed-453b-886d-7dea7b5751cd;True;eng;en;2020-01-04T11:39:30Z;7;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9523-eng-deu-Internet_of_Dongs.en.srt;2020-01-04T11:53:05Z;VYCwLfEcjI3G;en
400622c5-3754-43fd-aaf3-0ca00e9ad551;True;deu;de;2020-01-04T11:41:26Z;9;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9972-deu-eng-Funkzellenabfrage_Die_alltaegliche_Rasterfahndung_unserer_Handydaten.de.srt;2020-01-04T12:14:04Z;GNZGZc92QF9K;de
a875f05c-5eeb-4478-9e6f-863fc52b8868;False;deu;de;2020-01-04T11:43:07Z;5;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9681-deu-eng-Butterbrotdosen-Smartphone.de.srt;2020-01-04T11:44:33Z;bjSzAn6KOeoa;de
48ed6dea-e67d-4866-8c35-318e9d892363;True;deu;de;2020-01-04T11:45:07Z;10;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9716-deu-eng-fra-Du_kannst_alles_hacken_-_du_darfst_dich_nur_nicht_erwischen_lassen.de.srt;2020-01-04T12:03:05Z;7DGLIHacha6G;de
07f5d97a-161c-4435-abad-6ef08107df15;False;eng;en;2020-01-04T11:46:13Z;7;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9573-eng-deu-fra-A_Blockchain_Picture_Book.en.srt;2020-01-04T12:02:31Z;BecSPYOnkloY;en
